,id,lat,lng
97,2255112,50.062733,72.954664
98,2255113,35.912350,-78.747890
99,2255117,10.773943,106.581324
100,5305602,47.108750,51.884940
101,1237166,-26.283180,-48.901545
102,5305630,28.182897,69.798370
103,3148933,41.364220,-8.568964
104,3172542,38.703960,-9.362814
105,9721380,31.867556,47.174576
106,1696255,43.876540,-79.286250
107,4315447,25.578931,91.873190
108,9721456,26.736643,85.937325
109,349385,22.591846,-102.069308
110,3172550,38.664902,-9.156584
111,1687532,-0.160578,-78.470890
112,10868448,30.885979,30.672632
113,944065,-23.494411,-46.557612
114,1237172,7.060356,-73.848899
115,15809917,36.201950,36.169095
116,3172601,41.356171,-8.558947
117,1977062,32.987638,-96.511662
118,3172603,38.710163,-9.403827
119,3172610,38.754929,-9.211498
120,1696258,18.917450,-99.165900
121,15487644,20.705594,76.563590
122,3172634,38.859398,-9.332499
123,3172643,38.760075,-9.281759
124,12935162,40.738415,-73.231026
125,7981748,50.621790,26.250620
126,4103290,33.699173,-7.396374
127,7791574,35.584070,45.385180
128,3079598,31.723155,-106.374516
129,944099,-19.892464,-43.997516
130,3148508,40.204159,-8.401183
131,1687562,56.490100,84.887070
132,6674852,25.896977,-80.264049
133,4697028,5.962738,116.069800
134,944104,-19.940493,-43.940980
135,1687571,32.491540,-116.950000
136,15487645,16.051496,120.377580
137,4716718,22.487732,88.374977
138,4792952,31.253437,29.993076
139,1696262,12.225850,102.505000
140,2006555,37.127235,-8.539603
141,7025204,26.136840,50.575140
142,7025214,40.504310,-74.657970
143,10661767,58.084396,7.306165
144,6743833,45.069100,38.933700
145,2836008,32.043209,44.492108
146,4870922,37.109892,38.810249
147,5052613,33.264030,44.476380
148,3172666,38.653164,-9.160904
149,840542,53.874825,-2.393727
150,3172716,38.812107,-9.189778
151,3172725,41.121998,-8.601478
152,3172735,38.713108,-9.158161
153,8359313,45.683142,-71.429061
154,356347,24.590945,-107.390460
155,12935177,21.549439,39.243977
156,12977490,12.614726,-7.967148
157,2536544,57.481520,56.982040
158,2536556,25.927121,49.652606
159,2006566,21.420650,39.878930
